-9.18,-94.10,11.20,79.66,-25.12,-68.30,29.35,54.99
4.55,-1.07,3.25,-1.44,1.41,-7.03,0.99,-8.74
-3.73,-46.91,5.11,36.10,-15.43,-36.56,16.19,27.74
3.23,-0.41,1.69,-0.85,0.16,-4.26,-0.52,-5.90
-2.68,-31.26,3.92,22.18,-10.19,-24.10,10.48,17.38
3.33,0.06,1.70,-0.34,0.49,-2.77,-0.23,4.16
-2.16,-24.09,3.35,15.82,-7.26,-17.75,7.47,12.20
3.94,0.41,2.26,0.11,0.80,-1.85,0.12,-3.03
-2.25,-19.13,3.47,11.65,-5.89,-14.68,6.14,9.64
3.72,0.47,2.06,0.06,1.90,-1.36,1.31,-2.34
-2.74,-15.85,3.91,9.12,-4.96,-11.23,5.18,7.18
3.78,0.47,2.20,-0.05,1.20,-1.17,0.88,-2.07
-2.91,-13.55,4.23,7.53,-4.35,-9.39,4.68,5.93
3.85,0.29,2.55,-0.51,1.36,-1.08,1.32,-1.94
-2.80,-11.96,4.11,6.53,-3.80,-8.13,4.15,5.13
3.93,0.20,2.80,-0.57,1.54,-0.95,1.66,-1.66
-1.74,-10.55,3.36,5.68,-2.90,-7.09,3.44,4.48
3.89,0.46,2.70,-0.28,1.52,-0.60,1.71,-1.28
-0.64,-9.02,2.65,4.66,-2.05,-6.03,2.82,3.78
3.93,0.85,2.63,0.05,1.39,-0.20,1.72,-0.97
